Killer,Num,Perc,want
,2380.0,4.28743852569761,Neroga
,2149.0,3.8713047864387238,BiGgweeb
,1100.0,1.981589234566122,Fetopia
,1018.0,1.833870764353011,Krashgamer
,940.0,1.6933580731746862,Miggers
,939.0,1.6915566284159897,STRAZO
,851.0,1.5330294896506997,IHackedXVIDEOs
,698.0,1.2574084415701392,piglegs
,614.0,1.1060870818396356,Conjo_
,610.0,1.0988813028048494,SankuGG
,542.0,0.9763830592134892,13oclock
,539.0,0.9709787249373998,BentsiW
,515.0,0.9277440507286844,Shrando
,491.0,0.884509376519969,KP0C
,477.0,0.8592891498982184,Killet
,420.0,0.7566067986525193,CROHectany
,413.0,0.743996685341644,0xify
,408.0,0.7349894615481616,PoolCoder
,407.0,0.7331880167894651,Reckinq_touchpad
,395.0,0.7115706796851075,J33n
,340.0,0.6124912179568014,GodOf4b4t
,319.0,0.5746608780241754,m3thh
,317.0,0.5710579885067824,P1nkE_
,307.0,0.5530435409198178,Sehhann
,302.0,0.5440363171263354,Smolegit
,287.0,0.5170146457458882,TankTunder
,284.0,0.5116103114697987,SamTheEgrill
,273.0,0.49179441912413757,Bl0ngus
,260.0,0.46837563726108333,omegasbeve
,255.0,0.45936841346760104,Raisin_Dan
,240.0,0.4323467420871539,SuhhhDuuude
,236.0,0.42514096305236804,SaIC1
,227.0,0.4089279602240997,leovo909
,220.0,0.39631784691322436,BrutalTorture
,205.0,0.36929617553277727,HyperReaper123
,204.0,0.3674947307740808,ShatteredHej
,202.0,0.3638918412566879,Flashylol
,201.0,0.3620903964979914,CastleCrafterLP
,201.0,0.3620903964979914,Actness
,199.0,0.35848750698059845,ScoobyDooPimp
,195.0,0.3512817279458126,Sparkey096
,193.0,0.34767883842841957,FacelessManRuin
,188.0,0.3386716146349372,shumin11
,187.0,0.33687016987624074,Finnthehumanlol
,187.0,0.33687016987624074,nathanreed
,180.0,0.3242600565653654,Fobba
,176.0,0.3170542775305795,Therhskel
,174.0,0.31345138801318656,HP0C
,172.0,0.3098484984957936,lightDreaming
,172.0,0.3098484984957936,DarkSoulSK
,171.0,0.3080470537370972,jimmyjohns451
,170.0,0.3062456089784007,Noviip
,170.0,0.3062456089784007,om211
,169.0,0.3044441642197042,PandaBearUwU
,167.0,0.30084127470231126,Max_Powers_Full
,165.0,0.2972383851849183,ChillyDogs
,162.0,0.29183405090882886,Cuby96
,161.0,0.2900326061501324,deathcopter
,161.0,0.2900326061501324,Viktisen
,154.0,0.2774224928392571,DorSchnetzler
