,Victim,Num,Perc
0,moooomoooo,2070.0,3.7289906505017028
1,Djf211,1085.0,1.954567563185675
2,BarrenHead,1006.0,1.8122534272486532
3,Royal_116,513.0,0.9241411612112914
4,Tenisto,478.0,0.8610905946569148
5,Mr_Randomuser,402.0,0.7241807929959828
6,CorrosiveCadaver,222.0,0.3999207364306173
7,moom0o,183.0,0.3296643908414549
8,DuranGan,172.0,0.3098484984957936
9,Microzello,159.0,0.2864297166327395
10,xDacian,155.0,0.27922393759795355
11,xXfrozen_milkXx,155.0,0.27922393759795355
12,Corriisabamf,148.0,0.26661382428707825
13,Vangsguard,143.0,0.25760660049359585
14,LastPersonYouSee,142.0,0.25580515573489937
15,Naomih,140.0,0.25220226621750647
16,RacistBot,132.0,0.23779070814793465
17,dawrkie,130.0,0.23418781863054167
18,KingCarnelian,126.0,0.2269820395957558
19,Killgamer811,114.0,0.2053647024913981
20,RiehleFaith,112.0,0.20176181297400517
21,b2t2DotOrg,102.0,0.1837473653870404
22,He4rtle55,101.0,0.18194592062834394
23,slick76802,97.0,0.17474014159355802
24,Mark_Dog,88.0,0.15852713876528976
25,SaIC1,87.0,0.15672569400659328
26,Hexbugman213,85.0,0.15312280448920035
27,ConciseBlock,85.0,0.15312280448920035
28,FreakyThought,82.0,0.1477184702131109
29,mcrcortex,82.0,0.1477184702131109
30,nikolas4603,80.0,0.14411558069571798
31,TheJoyOfGambling,77.0,0.13871124641962854
32,vuth_xd,74.0,0.13330691214353912
33,_Orthodox_,73.0,0.13150546738484264
34,TriceratopsD,71.0,0.12790257786744968
35,Jakethasnake52,70.0,0.12610113310875323
36,IKill2Die,70.0,0.12610113310875323
37,0tjb,69.0,0.12429968835005675
38,TruGuire,69.0,0.12429968835005675
39,manu2107el,68.0,0.12249824359136026
40,0000000000011111,68.0,0.12249824359136026
41,ShadowGirl379,67.0,0.12069679883266379
42,DoubleSpexon,67.0,0.12069679883266379
43,Crankerious,65.0,0.11709390931527083
44,JGR05,65.0,0.11709390931527083
