,name,mob_kills,perc
0,ocelix,30979.0,2.386489782366368
1,Fobba,15239.0,1.1739474416049933
2,ShadowGirl379,9923.0,0.7644255176223077
3,Toothlacking,8126.0,0.625992316456603
4,Fetopia,7735.0,0.5958713472547162
5,Do_You_Vape,7000.0,0.539250088013318
6,DABd,6820.0,0.5253836571786897
7,Shrando,6678.0,0.5144445839647054
8,P4S197,6056.0,0.46652836185837904
9,Shayu_,6050.0,0.4660661474972248
10,Golomebreaker11,5726.0,0.44110657199489406
11,Grim_Reaper84,5673.0,0.4370236784713647
12,Tucka91,5587.0,0.43039860596148677
13,AdolfHejter,5217.0,0.40189538702363997
14,Kim_Jong_Nig,5188.0,0.39966135094472766
15,DimeZero,5183.0,0.3992761723104324
16,Jaega,4714.0,0.3631464164135401
17,Millo_,4408.0,0.3395734839946722
18,Kisharra98,4154.0,0.32000640937247465
19,Darkeside,4152.0,0.3198523379187566
20,CROHectany,4086.0,0.3147679799460596
21,P1nkE_,3929.0,0.30267337082918944
22,epikkookie,3766.0,0.29011654735116504
23,seshftp,3557.0,0.27401608043762454
24,Oskariii,3489.0,0.2687776510112095
25,Pbm2001,3381.0,0.26045779251043255
26,Garhall,3375.0,0.2599955781492783
27,Alphaeris,3201.0,0.24659136167580442
28,IHackedXVIDEOs,3153.0,0.2428936467865702
29,nekman88,3106.0,0.23927296762419506
30,MayGamerJoey,3084.0,0.23757818163329608
31,urdruk,3039.0,0.23411157392463902
32,Taqhesiquan,3019.0,0.2325708593874581
33,dragonrider17,2901.0,0.22348064361809075
34,CerebralMayhem,2892.0,0.22278732207635937
35,super_zzo,2882.0,0.2220169648077689
36,Djf211,2869.0,0.22101550035860132
37,MadauS,2814.0,0.2167785353813538
38,Vulporium,2798.0,0.2155459637516091
39,Abrex_,2773.0,0.21362007058013296
40,ARZI1,2768.0,0.21323489194583772
41,SmashyMC,2756.0,0.21231046322352917
42,Not_Caleb_Turner,2711.0,0.20884385551487214
43,Wlcs,2703.0,0.20822756969999978
44,0tjb,2616.0,0.20152546146326283
45,ROCCO457,2571.0,0.19805885375460577
46,soppa12345,2500.0,0.19258931714761354
47,Erroldius,2464.0,0.18981603098068792
48,ZxFireBoxZx,2457.0,0.1892767808926746
49,Masterjojojo,2428.0,0.18704274481376226
50,lightDreaming,2299.0,0.1771051360489454
51,pyro_neer,2283.0,0.17587256441920068
52,Carlovich_,2282.0,0.17579552869234166
53,BlackAsNight,2251.0,0.17340742115971125
54,Callecraft2,2235.0,0.1721748495299665
55,MTN_Dewit,2211.0,0.17032599208534943
56,DumDumy,2202.0,0.16963267054361802
57,Eggy115,2179.0,0.16786084882585997
58,HiImGhost,2171.0,0.1672445630109876
59,mangadaisuki,2167.0,0.16693642010355142
60,Leivu,2148.0,0.16547274129322956
61,jack93885,2129.0,0.1640090624829077
62,PasqualeGallo,2129.0,0.1640090624829077
63,D47,2128.0,0.16393202675604865
64,qslrocket,2101.0,0.16185206213085443
65,KP0C,2098.0,0.16162095495027728
66,PoolCoder,2091.0,0.16108170486226397
